year,winner,gender,country,time,marathon,continent
2003,Paula Radcliffe,Female,United Kingdom,5/4/2018 2:15,London,Europe
2002,Khalid Khannouchi,Male,United States,5/4/2018 2:05,London,Americas
2002,Paula Radcliffe,Female,United Kingdom,5/4/2018 2:18,London,Europe
2001,Abdelkader El Mouaziz,Male,Morocco,5/4/2018 2:07,London,Africa
2001,Derartu Tulu,Female,Ethiopia,5/4/2018 2:23,London,Africa
2000,António Pinto,Male,Portugal,5/4/2018 2:06,London,Europe
2000,Tegla Laroupe,Female,Kenya,5/4/2018 2:24,London,Africa
1999,Abdelkader El Mouaziz,Male,Morocco,5/4/2018 2:07,London,Africa
1999,Joyce Chepchumba,Female,Kenya,5/4/2018 2:23,London,Africa
1998,Abel Antón,Male,Spain,5/4/2018 2:07,London,Europe
1998,Catherina McKiernan,Female,Ireland,5/4/2018 2:26,London,Europe
1997,António Pinto,Male,Portugal,5/4/2018 2:07,London,Europe
1997,Joyce Chepchumba,Female,Kenya,5/4/2018 2:26,London,Africa
1996,Dionicio Cerón,Male,Mexico,5/4/2018 2:10,London,Americas
1996,Liz McColgan,Female,United Kingdom,5/4/2018 2:27,London,Europe
1995,Dionicio Cerón,Male,Mexico,5/4/2018 2:08,London,Americas
1995,Malgorzata Sobanska,Female,Poland,5/4/2018 2:27,London,Europe
1994,Dionicio Cerón,Male,Mexico,5/4/2018 2:08,London,Americas
1994,Katrin Dörre-Heinig,Female,Germany,5/4/2018 2:32,London,Europe
1993,Eamonn Martin,Male,United Kingdom,5/4/2018 2:10,London,Europe
1993,Katrin Dörre-Heinig,Female,Germany,5/4/2018 2:27,London,Europe
1992,António Pinto,Male,Portugal,5/4/2018 2:10,London,Europe
1992,Katrin Dörre-Heinig,Female,Germany,5/4/2018 2:29,London,Europe
1991,Yakov Tolstikov,Male,Soviet Union,5/4/2018 2:09,London,APAC
1991,Rosa Mota,Female,Portugal,5/4/2018 2:26,London,Europe
1990,Allister Hutton,Male,United Kingdom,5/4/2018 2:10,London,Europe
1990,Wanda Panfil,Female,Poland,5/4/2018 2:26,London,Europe
1989,Douglas Wakiihuri,Male,Kenya,5/4/2018 2:09,London,Africa
1989,Véronique Marot,Female,United Kingdom,5/4/2018 2:25,London,Europe
1988,Henrik Jørgensen,Male,Denmark,5/4/2018 2:10,London,Europe
1988,Ingrid Kristiansen,Female,Norway,5/4/2018 2:25,London,Europe
1987,Hiromi Taniguchi,Male,Japan,5/4/2018 2:09,London,APAC
1987,Ingrid Kristiansen,Female,Norway,5/4/2018 2:22,London,Europe
1986,Toshihiko Seko,Male,Japan,5/4/2018 2:10,London,APAC
1986,Grete Waitz,Female,Norway,5/4/2018 2:24,London,Europe
1985,Steve Jones,Male,United Kingdom,5/4/2018 2:08,London,Europe
1985,Ingrid Kristiansen,Female,Norway,5/4/2018 2:21,London,Europe
1984,Charlie Spedding,Male,United Kingdom,5/4/2018 2:09,London,Europe
1984,Ingrid Kristiansen,Female,Norway,5/4/2018 2:24,London,Europe
1983,Mike Gratton,Male,United Kingdom,5/4/2018 2:09,London,Europe
1983,Grete Waitz,Female,Norway,5/4/2018 2:25,London,Europe
1982,Hugh Jones,Male,United Kingdom,5/4/2018 2:09,London,Europe
1982,Joyce Smith,Female,United Kingdom,5/4/2018 2:29,London,Europe
1981,Dick Beardsley,Male,United States,5/4/2018 2:11,London,Americas
1981,Inge Simonsen,Male,Norway,5/4/2018 2:11,London,Europe
1981,Joyce Smith,Female,United Kingdom,5/4/2018 2:29,London,Europe
2017,Galen Rupp,Male,United States,5/4/2018 2:09,Chicago,Americas
2017,Tirunesh Dibaba,Female,Ethiopia,5/4/2018 2:18,Chicago,Africa
2016,Abel Kirui,Male,Kenya,5/4/2018 2:11,Chicago,Africa
2016,Florence Kiplagat,Female,Kenya,5/4/2018 2:21,Chicago,Africa
2015,Dickson Chumba,Male,Kenya,5/4/2018 2:09,Chicago,Africa
2015,Florence Kiplagat,Female,Kenya,5/4/2018 2:23,Chicago,Africa
2014,Eliud Kipchoge,Male,Kenya,5/4/2018 2:04,Chicago,Africa
2014,Mare Dibaba,Female,Ethiopia,5/4/2018 2:25,Chicago,Africa
2013,Dennis Kimetto,Male,Kenya,5/4/2018 2:03,Chicago,Africa
2013,Rita Jeptoo,Female,Kenya,5/4/2018 2:19,Chicago,Africa
2012,Tsegaye Kebede,Male,Ethiopia,5/4/2018 2:04,Chicago,Africa
2012,Atsede Baysa,Female,Ethiopia,5/4/2018 2:22,Chicago,Africa
2011,Moses Mosop,Male,Kenya,5/4/2018 2:05,Chicago,Africa
2011,Ejegayehu Dibaba,Female,Ethiopia,5/4/2018 2:22,Chicago,Africa
2010,Samuel Wanjiru,Male,Kenya,5/4/2018 2:06,Chicago,Africa
2010,Atsede Baysa,Female,Ethiopia,5/4/2018 2:23,Chicago,Africa
2009,Samuel Wanjiru,Male,Kenya,5/4/2018 2:05,Chicago,Africa
2009,Irina Mikitenko,Female,Germany,5/4/2018 2:26,Chicago,Europe
2008,Evans Cheruiyot,Male,Kenya,5/4/2018 2:06,Chicago,Africa
2008,Lidiya Grigoryeva,Female,Russia,5/4/2018 2:27,Chicago,APAC
2007,Patrick Ivuti,Male,Kenya,5/4/2018 2:11,Chicago,Africa
2007,Berhane Adere,Female,Ethiopia,5/4/2018 2:33,Chicago,Africa
2006,Robert Cheruiyot,Male,Kenya,5/4/2018 2:07,Chicago,Africa
2006,Berhane Adere,Female,Ethiopia,5/4/2018 2:20,Chicago,Africa
2005,Felix Limo,Male,Kenya,5/4/2018 2:07,Chicago,Africa
2005,Deena Kastor,Female,United States,5/4/2018 2:21,Chicago,Americas
2004,Evans Rutto,Male,Kenya,5/4/2018 2:06,Chicago,Africa
2004,"Dita, Constantina",Female,Romania,5/4/2018 2:23,Chicago,Europe
2003,Evans Rutto,Male,Kenya,5/4/2018 2:05,Chicago,Africa
2003,Svetlana Zakharova,Female,Russia,5/4/2018 2:23,Chicago,APAC
2002,Khalid Khannouchi,Male,United States,5/4/2018 2:05,Chicago,Americas
2002,Paula Radcliffe,Female,United Kingdom,5/4/2018 2:17,Chicago,Europe
2001,Ben Kimondiu,Male,Kenya,5/4/2018 2:08,Chicago,Africa
2001,Catherine Ndereba,Female,Kenya,5/4/2018 2:18,Chicago,Africa
2000,Khalid Khannouchi,Male,United States,5/4/2018 2:07,Chicago,Americas
2000,Catherine Ndereba,Female,Kenya,5/4/2018 2:21,Chicago,Africa
1999,Khalid Khannouchi,Male,Morocco,5/4/2018 2:05,Chicago,Africa
1999,Joyce Chepchumba,Female,Kenya,5/4/2018 2:25,Chicago,Africa
1998,Ondoro Osoro,Male,Kenya,5/4/2018 2:06,Chicago,Africa
1998,Joyce Chepchumba,Female,Kenya,5/4/2018 2:23,Chicago,Africa
1997,Khalid Khannouchi,Male,Morocco,5/4/2018 2:07,Chicago,Africa
1997,Marian Sutton,Female,United Kingdom,5/4/2018 2:29,Chicago,Europe
1996,Paul Evans,Male,United Kingdom,5/4/2018 2:08,Chicago,Europe
1996,Marian Sutton,Female,United Kingdom,5/4/2018 2:30,Chicago,Europe
1995,Eamonn Martin,Male,United Kingdom,5/4/2018 2:11,Chicago,Europe
1995,Ritva Lemettinen,Female,Finland,5/4/2018 2:28,Chicago,Europe
1994,Luíz Antônio,Male,Brazil,5/4/2018 2:11,Chicago,Americas
1994,Kristy Johnston,Female,United States,5/4/2018 2:31,Chicago,Americas
1993,Luíz Antônio,Male,Brazil,5/4/2018 2:13,Chicago,Americas
1993,Ritva Lemettinen,Female,Finland,5/4/2018 2:33,Chicago,Europe
1992,José Cesar de Souza,Male,Brazil,5/4/2018 2:16,Chicago,Americas
1992,Linda Somers,Female,United States,5/4/2018 2:37,Chicago,Americas
1991,Joseildo Rocha,Male,Brazil,5/4/2018 2:14,Chicago,Americas
1991,Midde Hamrin,Female,Sweden,5/4/2018 2:36,Chicago,Europe
1990,Martín Pitayo,Male,Mexico,5/4/2018 2:09,Chicago,Americas
1990,Aurora Cunha,Female,Portugal,5/4/2018 2:30,Chicago,Europe
1989,Paul Davies-Hale,Male,United Kingdom,5/4/2018 2:11,Chicago,Europe
1989,Lisa Weidenbach,Female,United States,5/4/2018 2:28,Chicago,Americas
1988,Alejandro Cruz,Male,Mexico,5/4/2018 2:08,Chicago,Americas
1988,Lisa Weidenbach,Female,United States,5/4/2018 2:29,Chicago,Americas
1987,NA,NA,NA,NA,Chicago,#N/A
1987,NA,NA,NA,NA,Chicago,#N/A
1986,Toshihiko Seko,Male,Japan,5/4/2018 2:08,Chicago,APAC
1986,Ingrid Kristiansen,Female,Norway,5/4/2018 2:27,Chicago,Europe
1985,Steve Jones,Male,United Kingdom,5/4/2018 2:07,Chicago,Europe
1985,Joan Benoit,Female,United States,5/4/2018 2:21,Chicago,Americas
1984,Steve Jones,Male,United Kingdom,5/4/2018 2:08,Chicago,Europe
1984,Rosa Mota,Female,Portugal,5/4/2018 2:26,Chicago,Europe
1983,Joseph Nzau,Male,Kenya,5/4/2018 2:09,Chicago,Africa
1983,Rosa Mota,Female,Portugal,5/4/2018 2:31,Chicago,Europe
1982,Greg Meyer,Male,United States,5/4/2018 2:10,Chicago,Americas
1982,Nancy Conz,Female,United States,5/4/2018 2:33,Chicago,Americas
1981,Phil Coppess,Male,United States,5/4/2018 2:16,Chicago,Americas
1981,Tina Gandy,Female,United States,5/4/2018 2:49,Chicago,Americas
1980,Frank Richardson,Male,United States,5/4/2018 2:14,Chicago,Americas
1980,Sue Peterson,Female,United States,5/4/2018 2:45,Chicago,Americas
1979,Dan Cloeter,Male,United States,5/4/2018 2:23,Chicago,Americas
1979,Laura Michalek,Female,United States,5/4/2018 3:15,Chicago,Americas
1978,Mark Stanforth,Male,United States,5/4/2018 2:19,Chicago,Americas
1978,Lynae Larson,Female,United States,5/4/2018 2:59,Chicago,Americas
1977,Dan Cloeter,Male,United States,5/4/2018 2:17,Chicago,Americas
1977,Dorothy Doolittle,Female,United States,5/4/2018 2:50,Chicago,Americas
2018,Vivian Cheruiyot,Female,Kenya,5/4/2018 2:18,London,Africa
