year,winner,gender,country,time,marathon,continent
2009,Deriba Merga,Male,Ethiopia,5/4/2018 2:08,Boston,Africa
2009,Salina Kosgei,Female,Kenya,5/4/2018 2:32,Boston,Africa
2008,Robert Kipkoech Cheruiyot,Male,Kenya,5/4/2018 2:07,Boston,Africa
2008,Dire Tune,Female,Ethiopia,5/4/2018 2:25,Boston,Africa
2007,Robert Kipkoech Cheruiyot,Male,Kenya,5/4/2018 2:14,Boston,Africa
2007,Lidiya Grigoryeva,Female,Russia,5/4/2018 2:29,Boston,APAC
2006,Robert Kipkoech Cheruiyot,Male,Kenya,5/4/2018 2:07,Boston,Africa
2006,Rita Jeptoo,Female,Kenya,5/4/2018 2:23,Boston,Africa
2005,Hailu Negussie,Male,Ethiopia,5/4/2018 2:11,Boston,Africa
2005,Catherine Ndereba,Female,Kenya,5/4/2018 2:25,Boston,Africa
2004,Timothy Cherigat,Male,Kenya,5/4/2018 2:10,Boston,Africa
2004,Catherine Ndereba,Female,Kenya,5/4/2018 2:24,Boston,Africa
2003,Robert Kipkoech Cheruiyot,Male,Kenya,5/4/2018 2:10,Boston,Africa
2003,Svetlana Zakharova,Female,Russia,5/4/2018 2:25,Boston,APAC
2002,Rodgers Rop,Male,Kenya,5/4/2018 2:09,Boston,Africa
2002,Margaret Okayo,Female,Kenya,5/4/2018 2:20,Boston,Africa
2001,Lee Bong-Ju,Male,South Korea,5/4/2018 2:09,Boston,APAC
2001,Catherine Ndereba,Female,Kenya,5/4/2018 2:23,Boston,Africa
2000,Elijah Lagat,Male,Kenya,5/4/2018 2:09,Boston,Africa
2000,Catherine Ndereba,Female,Kenya,5/4/2018 2:26,Boston,Africa
1999,Joseph Chebet,Male,Kenya,5/4/2018 2:09,Boston,Africa
1999,Fatuma Roba,Female,Ethiopia,5/4/2018 2:23,Boston,Africa
1998,Moses Tanui,Male,Kenya,5/4/2018 2:07,Boston,Africa
1998,Fatuma Roba,Female,Ethiopia,5/4/2018 2:23,Boston,Africa
1997,Lameck Aguta,Male,Kenya,5/4/2018 2:10,Boston,Africa
1997,Fatuma Roba,Female,Ethiopia,5/4/2018 2:26,Boston,Africa
1996,Moses Tanui,Male,Kenya,5/4/2018 2:09,Boston,Africa
1996,Uta Pippig,Female,Germany,5/4/2018 2:27,Boston,Europe
1995,Cosmas Ndeti,Male,Kenya,5/4/2018 2:09,Boston,Africa
1995,Uta Pippig,Female,Germany,5/4/2018 2:25,Boston,Europe
1994,Cosmas Ndeti,Male,Kenya,5/4/2018 2:07,Boston,Africa
1994,Uta Pippig,Female,Germany,5/4/2018 2:21,Boston,Europe
1993,Cosmas Ndeti,Male,Kenya,5/4/2018 2:09,Boston,Africa
1993,Olga Markova,Female,Russia,5/4/2018 2:25,Boston,APAC
1992,Ibrahim Hussein,Male,Kenya,5/4/2018 2:08,Boston,Africa
1992,Olga Markova,Female,Russia,5/4/2018 2:23,Boston,APAC
1991,Ibrahim Hussein,Male,Kenya,5/4/2018 2:11,Boston,Africa
1991,Wanda Panfil,Female,Poland,5/4/2018 2:24,Boston,Europe
1990,Gelindo Bordin,Male,Italy,5/4/2018 2:08,Boston,Europe
1990,Rosa Mota,Female,Portugal,5/4/2018 2:25,Boston,Europe
1989,Abebe Mekonnen,Male,Ethiopia,5/4/2018 2:09,Boston,Africa
1989,Ingrid Kristiansen,Female,Norway,5/4/2018 2:24,Boston,Europe
1988,Ibrahim Hussein,Male,Kenya,5/4/2018 2:08,Boston,Africa
1988,Rosa Mota,Female,Portugal,5/4/2018 2:24,Boston,Europe
1987,Toshihiko Seko,Male,Japan,5/4/2018 2:11,Boston,APAC
1987,Rosa Mota,Female,Portugal,5/4/2018 2:25,Boston,Europe
1986,Robert de Castella,Male,Australia,5/4/2018 2:07,Boston,APAC
1986,Ingrid Kristiansen,Female,Norway,5/4/2018 2:24,Boston,Europe
1985,Geoff Smith,Male,United Kingdom,5/4/2018 2:14,Boston,Europe
1985,Lisa Larsen Weidenbach,Female,United States,5/4/2018 2:34,Boston,Americas
1984,Geoff Smith,Male,United Kingdom,5/4/2018 2:10,Boston,Europe
1984,Lorraine Moller,Female,New Zealand,5/4/2018 2:29,Boston,APAC
1983,Greg Meyer,Male,United States,5/4/2018 2:09,Boston,Americas
1983,Joan Benoit,Female,United States,5/4/2018 2:22,Boston,Americas
1982,Alberto Salazar,Male,United States,5/4/2018 2:08,Boston,Americas
1982,Charlotte Teske,Female,Germany,5/4/2018 2:29,Boston,Europe
1981,Toshihiko Seko,Male,Japan,5/4/2018 2:09,Boston,APAC
1981,Allison Roe,Female,New Zealand,5/4/2018 2:26,Boston,APAC
1980,Bill Rodgers,Male,United States,5/4/2018 2:12,Boston,Americas
1980,Jacqueline Gareau,Female,Canada,5/4/2018 2:34,Boston,Americas
1979,Bill Rodgers,Male,United States,5/4/2018 2:09,Boston,Americas
1979,Joan Benoit,Female,United States,5/4/2018 2:35,Boston,Americas
1978,Bill Rodgers,Male,United States,5/4/2018 2:10,Boston,Americas
1978,Gayle Barron,Female,United States,5/4/2018 2:44,Boston,Americas
1977,Jerome Drayton,Male,Canada,5/4/2018 2:14,Boston,Americas
1977,Miki Gorman,Female,United States,5/4/2018 2:48,Boston,Americas
1976,Jack Fultz,Male,United States,5/4/2018 2:20,Boston,Americas
1976,Kim Merritt,Female,United States,5/4/2018 2:47,Boston,Americas
1975,Bill Rodgers,Male,United States,5/4/2018 2:09,Boston,Americas
1975,Liane Winter,Female,Germany,5/4/2018 2:42,Boston,Europe
1974,Neil Cusack,Male,Ireland,5/4/2018 2:13,Boston,Europe
1974,Miki Gorman,Female,United States,5/4/2018 2:47,Boston,Americas
1973,Jon Anderson,Male,United States,5/4/2018 2:16,Boston,Americas
1973,Jacqueline Hansen,Female,United States,5/4/2018 3:05,Boston,Americas
1972,Olavi Suomalainen,Male,Finland,5/4/2018 2:15,Boston,Europe
1972,Nina Kuscsik,Female,United States,5/4/2018 3:10,Boston,Americas
1971,Álvaro Mejía,Male,Colombia,5/4/2018 2:18,Boston,Americas
1971,Sara Mae Berman,Female,United States,5/4/2018 3:08,Boston,Americas
1970,Ron Hill,Male,United Kingdom,5/4/2018 2:10,Boston,Europe
1970,Sara Mae Berman,Female,United States,5/4/2018 3:05,Boston,Americas
1969,Yoshiaki Unetani,Male,Japan,5/4/2018 2:13,Boston,APAC
1969,Sara Mae Berman,Female,United States,5/4/2018 3:22,Boston,Americas
1968,Amby Burfoot,Male,United States,5/4/2018 2:22,Boston,Americas
1968,Bobbi Gibb,Female,United States,5/4/2018 3:30,Boston,Americas
1967,Dave McKenzie,Male,New Zealand,5/4/2018 2:15,Boston,APAC
1967,Bobbi Gibb,Female,United States,5/4/2018 3:27,Boston,Americas
1966,Kenji Kimihara,Male,Japan,5/4/2018 2:17,Boston,APAC
1966,Bobbi Gibb,Female,United States,5/4/2018 3:21,Boston,Americas
1965,Morio Shigematsu,Male,Japan,5/4/2018 2:16,Boston,APAC
1964,Aurèle Vandendriessche,Male,Belgium,5/4/2018 2:19,Boston,Europe
1963,Aurèle Vandendriessche,Male,Belgium,5/4/2018 2:18,Boston,Europe
1962,Eino Oksanen,Male,Finland,5/4/2018 2:23,Boston,Europe
1961,Eino Oksanen,Male,Finland,5/4/2018 2:23,Boston,Europe
1960,Paavo Kotila,Male,Finland,5/4/2018 2:20,Boston,Europe
1959,Eino Oksanen,Male,Finland,5/4/2018 2:22,Boston,Europe
1958,Franjo Mihalic,Male,Yugoslavia,5/4/2018 2:25,Boston,Europe
1957,John J. Kelley,Male,United States,5/4/2018 2:20,Boston,Americas
1956,Antti Viskari,Male,Finland,5/4/2018 2:14,Boston,Europe
1955,Hideo Hamamura,Male,Japan,5/4/2018 2:18,Boston,APAC
1954,Veikko Karvonen,Male,Finland,5/4/2018 2:20,Boston,Europe
1953,Keizo Yamada,Male,Japan,5/4/2018 2:18,Boston,APAC
1952,Doroteo Flores,Male,Guatemala,5/4/2018 2:31,Boston,Americas
1951,Shigeki Tanaka,Male,Japan,5/4/2018 2:27,Boston,APAC
1950,Ham Kee-Yong,Male,South Korea,5/4/2018 2:32,Boston,APAC
1949,Gösta Leandersson,Male,Sweden,5/4/2018 2:31,Boston,Europe
1948,Gérard Côté,Male,Canada,5/4/2018 2:31,Boston,Americas
1947,Suh Yun-bok,Male,South Korea,5/4/2018 2:25,Boston,APAC
1946,Stylianos Kyriakides,Male,Greece,5/4/2018 2:29,Boston,Europe
1945,John A. Kelley,Male,United States,5/4/2018 2:30,Boston,Americas
1944,Gérard Côté,Male,Canada,5/4/2018 2:31,Boston,Americas
1943,Gérard Côté,Male,Canada,5/4/2018 2:28,Boston,Americas
1942,Joe Smith,Male,United States,5/4/2018 2:26,Boston,Americas
1941,Leslie S. Pawson,Male,United States,5/4/2018 2:30,Boston,Americas
1940,Gérard Côté,Male,Canada,5/4/2018 2:28,Boston,Americas
1939,Ellison Brown,Male,United States,5/4/2018 2:28,Boston,Americas
1938,Leslie S. Pawson,Male,United States,5/4/2018 2:35,Boston,Americas
1937,Walter Young,Male,Canada,5/4/2018 2:33,Boston,Americas
1936,Ellison Brown,Male,United States,5/4/2018 2:33,Boston,Americas
1935,John A. Kelley,Male,United States,5/4/2018 2:32,Boston,Americas
1934,Dave Komonen,Male,Canada,5/4/2018 2:32,Boston,Americas
1933,Leslie S. Pawson,Male,United States,5/4/2018 2:31,Boston,Americas
1932,Paul de Bruyn,Male,Germany,5/4/2018 2:33,Boston,Europe
1931,James Henigan,Male,United States,5/4/2018 2:46,Boston,Americas
1930,Clarence DeMar,Male,United States,5/4/2018 2:34,Boston,Americas
1929,Johnny Miles,Male,Canada,5/4/2018 2:33,Boston,Americas
1928,Clarence DeMar,Male,United States,5/4/2018 2:37,Boston,Americas
1927,Clarence DeMar,Male,United States,5/4/2018 2:40,Boston,Americas
1926,Johnny Miles,Male,Canada,5/4/2018 2:25,Boston,Americas
1925,Charles Mellor,Male,United States,5/4/2018 2:33,Boston,Americas
1924,Clarence DeMar,Male,United States,5/4/2018 2:29,Boston,Americas
1923,Clarence DeMar,Male,United States,5/4/2018 2:23,Boston,Americas
1922,Clarence DeMar,Male,United States,5/4/2018 2:18,Boston,Americas
1921,Frank Zuna,Male,United States,5/4/2018 2:18,Boston,Americas
1920,Peter Trivoulides,Male,Greece,5/4/2018 2:29,Boston,Europe
1919,Carl Linder,Male,United States,5/4/2018 2:29,Boston,Americas
1918,NA,NA,NA,NA,Boston,#N/A
1917,Bill Kennedy,Male,United States,5/4/2018 2:28,Boston,Americas
1916,Arthur Roth,Male,United States,5/4/2018 2:27,Boston,Americas
1915,Édouard Fabre,Male,Canada,5/4/2018 2:31,Boston,Americas
1914,James Duffy,Male,Canada,5/4/2018 2:25,Boston,Americas
1913,Fritz Carlson,Male,United States,5/4/2018 2:25,Boston,Americas
1912,Michael J. Ryan,Male,United States,5/4/2018 2:21,Boston,Americas
1911,Clarence DeMar,Male,United States,5/4/2018 2:21,Boston,Americas
1910,Fred Cameron,Male,Canada,5/4/2018 2:28,Boston,Americas
1909,Henri Renaud,Male,United States,5/4/2018 2:53,Boston,Americas
1908,Thomas Morrissey,Male,United States,5/4/2018 2:25,Boston,Americas
1907,Thomas Longboat,Male,Canada,5/4/2018 2:24,Boston,Americas
1906,Tim Ford,Male,United States,5/4/2018 2:45,Boston,Americas
1905,Frederick Lorz,Male,United States,5/4/2018 2:38,Boston,Americas
1904,Michael Spring,Male,United States,5/4/2018 2:38,Boston,Americas
1903,John Lorden,Male,United States,5/4/2018 2:41,Boston,Americas
1902,Sammy Mellor,Male,United States,5/4/2018 2:43,Boston,Americas
1901,Jack Caffery,Male,Canada,5/4/2018 2:29,Boston,Americas
1900,Jack Caffery,Male,Canada,5/4/2018 2:39,Boston,Americas
1899,Lawrence Brignolia,Male,United States,5/4/2018 2:54,Boston,Americas
1898,Ronald J. MacDonald,Male,Canada,5/4/2018 2:42,Boston,Americas
1897,John J. McDermott,Male,United States,5/4/2018 2:55,Boston,Americas
2017,Geoffrey Kamworor,Male,Kenya,5/4/2018 2:10,NYC,Africa
2017,Shalane Flanagan,Female,United States,5/4/2018 2:26,NYC,Americas
2016,Ghirmay Ghebreslassie,Male,Eritrea,5/4/2018 2:07,NYC,Africa
2016,Mary Keitany,Female,Kenya,5/4/2018 2:24,NYC,Africa
2015,Stanley Biwott,Male,Kenya,5/4/2018 2:10,NYC,Africa
2015,Mary Keitany,Female,Kenya,5/4/2018 2:24,NYC,Africa
2014,Wilson Kipsang,Male,Kenya,5/4/2018 2:10,NYC,Africa
2014,Mary Keitany,Female,Kenya,5/4/2018 2:25,NYC,Africa
2013,Geoffrey Mutai,Male,Kenya,5/4/2018 2:08,NYC,Africa
2013,Priscah Jeptoo,Female,Kenya,5/4/2018 2:25,NYC,Africa
2012,NA,NA,NA,NA,NYC,#N/A
2012,NA,NA,NA,NA,NYC,#N/A
2011,Geoffrey Mutai,Male,Kenya,5/4/2018 2:05,NYC,Africa
2011,Firehiwot Dado,Female,Ethiopia,5/4/2018 2:23,NYC,Africa
2010,Gebregziabher Gebremariam,Male,Ethiopia,5/4/2018 2:08,NYC,Africa
2010,Edna Kiplagat,Female,Kenya,5/4/2018 2:28,NYC,Africa
2009,Meb Keflezighi,Male,United States,5/4/2018 2:09,NYC,Americas
2009,Derartu Tulu,Female,Ethiopia,5/4/2018 2:28,NYC,Africa
2008,Marílson Gomes dos Santos,Male,Brazil,5/4/2018 2:08,NYC,Americas
2008,Paula Radcliffe,Female,United Kingdom,5/4/2018 2:23,NYC,Europe
2007,Martin Lel,Male,Kenya,5/4/2018 2:09,NYC,Africa
2007,Paula Radcliffe,Female,United Kingdom,5/4/2018 2:23,NYC,Europe
2006,Marílson Gomes dos Santos,Male,Brazil,5/4/2018 2:09,NYC,Americas
2006,Jelena Prokopcuka,Female,Latvia,5/4/2018 2:25,NYC,Europe
2005,Paul Tergat,Male,Kenya,5/4/2018 2:09,NYC,Africa
2005,Jelena Prokopcuka,Female,Latvia,5/4/2018 2:24,NYC,Europe
2004,Hendrick Ramaala,Male,South Africa,5/4/2018 2:09,NYC,Africa
2004,Paula Radcliffe,Female,United Kingdom,5/4/2018 2:23,NYC,Europe
2003,Martin Lel,Male,Kenya,5/4/2018 2:10,NYC,Africa
2003,Margaret Okayo,Female,Kenya,5/4/2018 2:22,NYC,Africa
2002,Rodgers Rop,Male,Kenya,5/4/2018 2:08,NYC,Africa
2002,Joyce Chepchumba,Female,Kenya,5/4/2018 2:25,NYC,Africa
2001,Tesfaye Jifar,Male,Ethiopia,5/4/2018 2:07,NYC,Africa
2001,Margaret Okayo,Female,Kenya,5/4/2018 2:24,NYC,Africa
2000,Abdelkader El Mouaziz,Male,Morocco,5/4/2018 2:10,NYC,Africa
2000,Lyudmila Petrova,Female,Russia,5/4/2018 2:25,NYC,APAC
1999,Joseph Chebet,Male,Kenya,5/4/2018 2:09,NYC,Africa
1999,Adriana Fernandez,Female,Mexico,5/4/2018 2:25,NYC,Americas
1998,John Kagwe,Male,Kenya,5/4/2018 2:08,NYC,Africa
1998,Franca Fiacconi,Female,Italy,5/4/2018 2:25,NYC,Europe
1997,John Kagwe,Male,Kenya,5/4/2018 2:08,NYC,Africa
1997,Franziska Rochat-Moser,Female,Switzerland,5/4/2018 2:28,NYC,Europe
1996,Giacomo Leone,Male,Italy,5/4/2018 2:09,NYC,Europe
1996,Anuta Catuna,Female,Romania,5/4/2018 2:28,NYC,Europe
1995,Germán Silva,Male,Mexico,5/4/2018 2:11,NYC,Americas
1995,Tegla Loroupe,Female,Kenya,5/4/2018 2:28,NYC,Africa
1994,Germán Silva,Male,Mexico,5/4/2018 2:11,NYC,Americas
1994,Tegla Loroupe,Female,Kenya,5/4/2018 2:27,NYC,Africa
1993,Andrés Espinosa,Male,Mexico,5/4/2018 2:10,NYC,Americas
1993,Uta Pippig,Female,Germany,5/4/2018 2:26,NYC,Europe
1992,Willie Mtolo,Male,South Africa,5/4/2018 2:09,NYC,Africa
1992,Lisa Ondieki,Female,Australia,5/4/2018 2:24,NYC,APAC
1991,Salvador García,Male,Mexico,5/4/2018 2:09,NYC,Americas
1991,Liz McColgan,Female,United Kingdom,5/4/2018 2:27,NYC,Europe
1990,Douglas Wakiihuri,Male,Kenya,5/4/2018 2:12,NYC,Africa
1990,Wanda Panfil,Female,Poland,5/4/2018 2:30,NYC,Europe
1989,Juma Ikangaa,Male,Tanzania,5/4/2018 2:08,NYC,Africa
1989,Ingrid Kristiansen,Female,Norway,5/4/2018 2:25,NYC,Europe
1988,Steve Jones,Male,United Kingdom,5/4/2018 2:08,NYC,Europe
1988,Grete Waitz,Female,Norway,5/4/2018 2:28,NYC,Europe
1987,Ibrahim Hussein,Male,Kenya,5/4/2018 2:11,NYC,Africa
1987,Priscilla Welch,Female,United Kingdom,5/4/2018 2:30,NYC,Europe
1986,Gianni Poli,Male,Italy,5/4/2018 2:11,NYC,Europe
1986,Grete Waitz,Female,Norway,5/4/2018 2:28,NYC,Europe
1985,Orlando Pizzolato,Male,Italy,5/4/2018 2:11,NYC,Europe
1985,Grete Waitz,Female,Norway,5/4/2018 2:28,NYC,Europe
1984,Orlando Pizzolato,Male,Italy,5/4/2018 2:14,NYC,Europe
1984,Grete Waitz,Female,Norway,5/4/2018 2:29,NYC,Europe
1983,Rod Dixon,Male,New Zealand,5/4/2018 2:08,NYC,APAC
1983,Grete Waitz,Female,Norway,5/4/2018 2:27,NYC,Europe
1982,Alberto Salazar,Male,United States,5/4/2018 2:09,NYC,Americas
1982,Grete Waitz,Female,Norway,5/4/2018 2:27,NYC,Europe
1981,Alberto Salazar,Male,United States,5/4/2018 2:08,NYC,Americas
1981,Allison Roe,Female,New Zealand,5/4/2018 2:25,NYC,APAC
1980,Alberto Salazar,Male,United States,5/4/2018 2:09,NYC,Americas
1980,Grete Waitz,Female,Norway,5/4/2018 2:25,NYC,Europe
1979,Bill Rodgers,Male,United States,5/4/2018 2:11,NYC,Americas
1979,Grete Waitz,Female,Norway,5/4/2018 2:27,NYC,Europe
1978,Bill Rodgers,Male,United States,5/4/2018 2:12,NYC,Americas
1978,Grete Waitz,Female,Norway,5/4/2018 2:32,NYC,Europe
1977,Bill Rodgers,Male,United States,5/4/2018 2:11,NYC,Americas
1977,Miki Gorman,Female,United States,5/4/2018 2:43,NYC,Americas
1976,Bill Rodgers,Male,United States,5/4/2018 2:10,NYC,Americas
1976,Miki Gorman,Female,United States,5/4/2018 2:39,NYC,Americas
1975,Tom Fleming,Male,United States,5/4/2018 2:19,NYC,Americas
1975,Kim Merritt,Female,United States,5/4/2018 2:46,NYC,Americas
1974,Norbert Sander,Male,United States,5/4/2018 2:26,NYC,Americas
1974,Kathrine Switzer,Female,United States,5/4/2018 3:07,NYC,Americas
1973,Tom Fleming,Male,United States,5/4/2018 2:21,NYC,Americas
1973,Nina Kuscsik,Female,United States,5/4/2018 2:57,NYC,Americas
1972,Sheldon Karlin,Male,United States,5/4/2018 2:27,NYC,Americas
1972,Nina Kuscsik,Female,United States,5/4/2018 3:08,NYC,Americas
1971,Norman Higgins,Male,United States,5/4/2018 2:22,NYC,Americas
1970,Gary Muhrcke,Male,United States,5/4/2018 2:31,NYC,Americas
2018,Eliud Kipchoge,Male,Kenya,5/4/2018 2:04,London,Africa
2017,Daniel Wanjiru,Male,Kenya,5/4/2018 2:05,London,Africa
2017,Mary Keitany,Female,Kenya,5/4/2018 2:17,London,Africa
2016,Eliud Kipchoge,Male,Kenya,5/4/2018 2:03,London,Africa
2016,Jemima Sumgong,Female,Kenya,5/4/2018 2:22,London,Africa
2015,Eliud Kipchoge,Male,Kenya,5/4/2018 2:04,London,Africa
2015,Tigist Tufa,Female,Ethiopia,5/4/2018 2:23,London,Africa
2014,Wilson Kipsang,Male,Kenya,5/4/2018 2:04,London,Africa
2014,Edna Kiplagat,Female,Kenya,5/4/2018 2:20,London,Africa
2013,Tsegaye Kebede,Male,Ethiopia,5/4/2018 2:06,London,Africa
2013,Priscah Jeptoo,Female,Kenya,5/4/2018 2:20,London,Africa
2012,Wilson Kipsang,Male,Kenya,5/4/2018 2:04,London,Africa
2012,Mary Keitany,Female,Kenya,5/4/2018 2:18,London,Africa
2011,Emmanuel Mutai,Male,Kenya,5/4/2018 2:04,London,Africa
2011,Mary Keitany,Female,Kenya,5/4/2018 2:19,London,Africa
2010,Tsegaye Kebede,Male,Ethiopia,5/4/2018 2:05,London,Africa
2010,Aselefech Mergia,Female,Ethiopia,5/4/2018 2:22,London,Africa
2009,Samuel Wanjiru,Male,Kenya,5/4/2018 2:05,London,Africa
2009,Irina Mikitenko,Female,Germany,5/4/2018 2:22,London,Europe
2008,Martin Lel,Male,Kenya,5/4/2018 2:05,London,Africa
2008,Irina Mikitenko,Female,Germany,5/4/2018 2:24,London,Europe
2007,Martin Lel,Male,Kenya,5/4/2018 2:07,London,Africa
2007,Zhou Chunxiu,Female,China,5/4/2018 2:20,London,APAC
2006,Felix Limo,Male,Kenya,5/4/2018 2:06,London,Africa
2006,Deena Kastor,Female,United States,5/4/2018 2:19,London,Americas
2005,Martin Lel,Male,Kenya,5/4/2018 2:07,London,Africa
2005,Paula Radcliffe,Female,United Kingdom,5/4/2018 2:17,London,Europe
2004,Evans Rutto,Male,Kenya,5/4/2018 2:06,London,Africa
2004,Margaret Okayo,Female,Kenya,5/4/2018 2:22,London,Africa
2003,Gezahegne Abera,Male,Ethiopia,5/4/2018 2:07,London,Africa
